 Product Name,ASIN,Marketplace URL,UPC,SKU,Source URL,Handling Time,Bundle Qty,Source Price,Shipping Cost,Listed By,Initial price to list on Amazon,Tax,Buy Box,Marketplace,Amazon Fee FBA,Amazon Fee FBM,Lowest FBA,Lowest FBM,Sales Rank,Profit (FBA),Profit (FBM),Category,Approved for selling
Fiesta  Merengue 20-Piece Flatware Set,B00GY790C2,https://www.amazon.com/dp/B00GY790C2,7.19979E+11,,https://www.walmart.com/ip/204407020?selected=true,,1,32.77,5.99,,,2.6216,27.99,Amazon,9.88,4.2,27.99,50.22,"27,083",-20.65,-14.97,FLATWARE,Yes
Fiesta Cake Plate with Server 12-Inch Sunflower,B00T7F7BPQ,https://www.amazon.com/dp/B00T7F7BPQ,7.19979E+11,,https://www.walmart.com/ip/293030256?selected=true,,1,20.17,5.99,,,1.6136,15,Amazon,5.89,2.25,15,20.35,"61,107",-17.05,-13.41,FLATWARE,Yes
Fiesta Stainless Steel Celebration 5 Piece Hostess Set,B00YC4PVRW,https://www.amazon.com/dp/B00YC4PVRW,7.19979E+11,,https://www.walmart.com/ip/168642732?selected=true,,1,39.89,0,,,3.1912,29.99,Amazon,10.18,4.5,29.99,53.98,"56,973",-20.08,-14.4,KITCHEN,Yes
Fiesta Celebration 20-Piece Flatware Set,B00X9W30EO,https://www.amazon.com/dp/B00X9W30EO,7.19979E+11,,https://www.walmart.com/ip/102129356?selected=true,,1,120.38,0,,,9.6304,104.99,Amazon,21.43,15.75,N/A,104.99,"132,334",-36.82,-31.14,FLATWARE,Yes
Fiesta Bamboo 5 Piece Silicone Utensil Set,B00OMZB9Z4,https://www.amazon.com/dp/B00OMZB9Z4,7.19979E+11,,https://www.walmart.com/ip/316604628?selected=true,,1,38.87,0,,,3.1096,29.99,Amazon,10.48,4.5,29.99,39.98,"35,276",-19.36,-13.38,KITCHEN,Yes
Fiesta 8 Piece Mixing Bowl Set with Lids Mixed,B01B7SYK6I,https://www.amazon.com/dp/B01B7SYK6I,7.19979E+11,,https://www.walmart.com/ip/709469005?selected=true,,1,60.93,0,,,4.8744,48.62,Amazon,13.87,7.29,48.62,79.64,"80,864",-26.18,-19.6,DISHWARE_BOWL,Yes
French Home Laguiole Stainless Steel Steak Knives (Set of 4),B016EX02NG,https://www.amazon.com/dp/B016EX02NG,N/A,,https://www.overstock.com/Home-Garden/French-Home-Laguiole-Stainless-Steel-Steak-Knives-Set-of-4/10701121/product.html,,1,27.98,0,,,2.2384,27.98,Amazon,10.78,4.2,N/A,27.98,"146,724",-10.78,-4.2,KITCHEN_KNIFE,Yes
Hamilton Beach 6-Speed Hand Mixer with Snap-On Case White,B001CH0ZLE,https://www.amazon.com/dp/B001CH0ZLE,40094626823,,https://www.walmart.com/ip/5984254?selected=true,,1,19.99,5.99,,,1.5992,N/A,Amazon,8.98,3,19.99,27.49,139,-14.97,-8.99,FOOD_MIXER,Yes
homer laughlin 146941164 entertaining set bright,B00XLHWJ5I,https://www.amazon.com/dp/B00XLHWJ5I,42648408541,,https://www.walmart.com/ip/51873544?selected=true,,1,102.14,0,,,8.1712,79.99,Amazon,18.28,12,N/A,79.99,"138,909",-40.43,-34.15,DISHWARE_PLACE_SETTING,Yes
Fiesta 12 Piece Cutlery Set With Block Ombre,B01JA1Z14E,https://www.amazon.com/dp/B01JA1Z14E,7.19979E+11,,https://www.walmart.com/ip/801034333?selected=true,,1,234.98,0,,,18.7984,148.9,Amazon,29.82,22.34,148.9,275.95,"283,806",-115.9,-108.42,KITCHEN,Yes
KitchenAid KHM7210 7 Speed Digital Hand Mixer,B00C0QJY0O,https://www.amazon.com/dp/B00C0QJY0O,N/A,,https://www.overstock.com/Home-Garden/KitchenAid-KHM7210-7-Speed-Digital-Hand-Mixer/8206934/product.html,,1,64.99,0,,,5.1992,79.99,Amazon,17.68,12,79.99,84.95,"1,865",-2.68,3,FOOD_MIXER,No
Master Decorating Tip Set-,B00C4NYSSQ,https://www.amazon.com/dp/B00C4NYSSQ,N/A,,https://www.overstock.com/Crafts-Sewing/Master-Decorating-Tip-Set/8248852/product.html,,1,56.49,0,,,4.5192,N/A,Amazon,11.66,6.71,46.99,44.75,"10,142",-23.4,-18.45,PIPING_TIP,Yes
CK Products Meringue Powder 1 Pound (16 Ounces) (Pack of 2),B01GIHIFTG,https://www.amazon.com/dp/B01GIHIFTG,46655547163,,https://www.walmart.com/ip/922721103?selected=true,,1,22.15,5.99,,,1.772,29.99,Amazon,10.18,4.5,29.99,N/A,"12,364",-8.33,-2.65,COOKIE,Yes
Fiesta  Medium Bistro Bowl (38oz) - Shamrock Green,B00N2V8FQU,https://www.amazon.com/dp/B00N2V8FQU,42648404192,,https://www.walmart.com/ip/170405730?selected=true,,1,44.69,0,,,3.5752,33.99,Amazon,10.78,5.1,33.99,32.98,"89,058",-21.48,-15.8,DISHWARE_BOWL,Yes
Fiesta Extra-Large Bistro Bowl in Mulberry,B07KCPQ92D,https://www.amazon.com/dp/B07KCPQ92D,42648457082,,https://www.walmart.com/ip/146487249?selected=true,,1,60.18,0,,,4.8144,N/A,Amazon,12.77,6.49,45.35,43.29,"124,768",-29.66,-23.38,DISHWARE_BOWL,Yes
Icing Colors 1/2 Ounce 8/Pkg-Assorted Colors,B0000CFMU7,https://www.amazon.com/dp/B0000CFMU7,70896601773,,https://www.walmart.com/ip/24929744?selected=true,,1,12.93,5.99,,,1.0344,9.47,Amazon,5.06,1.42,9.47,11.85,"1,726",-14.51,-10.87,BAKING_MIX,Yes
Dash Go Everyday Mixer,B00KW6F8V8,https://www.amazon.com/dp/B00KW6F8V8,8.52079E+11,,https://www.walmart.com/ip/37017833?selected=true,,1,49,0,,,3.92,49.99,Amazon,19.58,7.5,49.99,57.83,"2,146",-18.59,-6.51,FOOD_MIXER,Yes
Home Basics Home Basics Napkin Holder Cast Iron Red Fleur De Lis,B00YQ4DKDK,https://www.amazon.com/dp/B00YQ4DKDK,8.86466E+11,,https://www.walmart.com/ip/47512986?selected=true,,1,12.62,5.99,,,1.0096,10.99,Amazon,6.6,1.65,10.99,10.92,"5,504",-14.22,-9.27,NAPKIN_HOLDER,Yes
